Nummero Accident;Categorie de route;Nom de la route
202200000357;Routes de métropole urbaine;AVENUE RITONDALE LEOPOLD
202200000358;Voie Communales;ROND POINT D402 RUE DE LA BUTTE
202200000359; Route Départementale;HOPITAUX CARREFOUR DES
202200000360;Voie Communales;
202200000361;Voie Communales;NEUHOF (ROUTE)
202200000362;Voie Communales;HENRI FAISANS
202200000363;Voie Communales;ALSACE LORRAINE D'
202200000364; Route Départementale;BAYONNE (AVENUE DE)
202200000365;Routes de métropole urbaine;ESPLANADE FACADE
202200000366;Voie Communales;GENERAL MANGIN (RUE)
202200000367;Voie Communales;BELGIQUE (RUE  DE )
202200000368;Voie Communales;GRAND CREDO (RUE DU)
202200000369;Voie Communales;BOUDENT (RUE JEAN)
202200000370;Voie Communales;PASTEUR AVENUE
202200000371;Routes de métropole urbaine;COURS JEAN JAURÈS
202200000372;Routes de métropole urbaine;BRETONNIERES (BOULEVARD DES)
202200000373;Voie Communales;MAGINOT (AVENUE SERGENT)
202200000374;Routes de métropole urbaine;MAGUELONE (AVENUE DE)
202200000375; Route Départementale;ROUTE DEPARTEMENTALE 612
202200000376;Voie Communales;RUE DU MARECHAL JOFFRE
202200000377;Voie Communales;EUROPE (DE 201 A 215)
202200000378;Voie Communales;PRESSOIR (RUE DU)
202200000379;Voie Communales;DOLE RUE DE (inf 82)
202200000380;Voie Communales;LYSIACK   AVENUE DU COMMANDANT
202200000381;Voie Communales;DOUMER (AVENUE PAUL)
202200000382;Voie Communales;BOULEVARD DU ROY RENE
202200000383;Voie Communales;GOUFFE (COURS)
202200000384; Route Départementale;DE SAINT LOUIS AU ROVE (chemin)
202200000385;Voie Communales;LIEUTAUD (COURS)
202200000386;Voie Communales;COSTE JEAN PAUL (AV )
202200000387;Voie Communales; -
202200000388; Route Départementale;ROCADE EST (RD 610)
202200000389;Voie Communales;VANEL (AVENUE DU) DU 1 ET 2 JUSQU' AU 26
202200000390;Voie Communales;TOULAUD (CHEMIN DE)
202200000391;Voie Communales;BOULEVARD PERIPHERIQUE
202200000392;Voie Communales;RUE GASTON TESSIER
202200000393;Voie Communales;RUE DE BELLEVILLE
202200000394;Voie Communales;QUAI DE L OISE
202200000395;Voie Communales;BOULEVARD PERIPHERIQUE
202200000396;Voie Communales;RUE ORDENER
202200000397;Voie Communales;PLACE DES INSURGES DE VARSOVIE
202200000398;Voie Communales;RUE REMY DUMONCEL
202200000399;Voie Communales;BOULEVARD DU GENERAL JEAN SIMON
202200000400;Voie Communales;RUE DU FAUBOURG SAINT MARTIN
202200000401;Voie Communales;PLACE DE LA CONCORDE
202200000402;Voie Communales;PONT DES INVALIDES
202200000403;Voie Communales;RUE DU RENARD
202200000404;Voie Communales;QUAI DE GESVRES
202200000405;Voie Communales;RUE DE RIVOLI
202200000406;Voie Communales;RUE DES DEUX PONTS
202200000407;Voie Communales;RUE DE RIVOLI
202200000408; Route Départementale;CARNOT (AV)
202200000409; Route Départementale;JEAN JAURES (AV)
202200000410; Route Départementale;GABRIEL PERI (AV)
202200000411;Voie Communales;ETIENNE DOLET (R)
202200000412; Route Départementale;VERDUN (AV DE)
202200000413; Route Départementale;DOCTEUR MARIE (R DU)
202200000414; Route Départementale;DEPORTATION (CAR DE LA)
202200000415;Voie Communales;GRAVELLE (AV DE)
202200000416; Route Départementale;VAUBAN (AVENUE)
202200000417; Route Départementale;BALLANGER (BD ROBERT)
202200000418;Voie Communales;RUE DE LA CLÉ DES CHAMPS
202200000419; Route Départementale;VICTOR-HUGO (BD)
202200000420;Voie Communales;ROGER GIBRAT
202200000421;Voie Communales;VARSOVIE (RUE DE)
202200000422; Route Départementale;REPUBLIQUE (AVE DE LA ) DE 52 A 104
202200000423; Route Départementale;JEAN JAURES  (AVE)  157 A 213
202200000424;Voie Communales;
202200000425;Voie Communales;
202200000426;Voie Communales;
202200000427; Route Départementale;52
202200000428; Route Départementale;128
202200000429; Route Départementale;482
202200000430; Route Départementale;D3
202200000431;Voie Communales;VILLENEUVE ROUTE DE
202200000432;Autoroute;7
202200000433; Route Départementale;PEGOMAS (ROUTE DE)
202200000434; Route Départementale;
202200000435; Route Départementale;1085
202200000436; Route Départementale;C.D 1
202200000437;Autoroute;57
202200000438;Voie Communales;
202200000439; Route Départementale;5
202200000440; Route Départementale;980
202200000441;Route nationale;03
202200000442; Route Départementale;16
202200000443; Route Départementale;945
202200000444; Route Départementale;D34
202200000445; Route Départementale;13
202200000446;Voie Communales;
202200000447; Route Départementale;97
202200000448; Route Départementale;316
202200000449; Route Départementale;39
202200000450; Route Départementale;959
202200000451; Route Départementale;27
202200000452;Voie Communales;RUE DE CHARONNE
202200000453; Route Départementale;45
202200000454; Route Départementale;18
202200000455; Route Départementale;5
202200000456; Route Départementale;GEORGES GOSNAT (AV)
202200000457; Route Départementale;927
202200000458; Route Départementale;916
202200000459;Route nationale;HUIT MAI 1945 (AV DU)
202200000460; Route Départementale;16
202200000461; Route Départementale;64
202200000462; Route Départementale;55
202200000463; Route Départementale;ERNEST RENAN (AV)
202200000464; Route Départementale;RD
202200000465;Voie Communales;HOTTINGER (Rue Rodolphe)
202200000466; Route Départementale;419
202200000467; Route Départementale;
202200000468; Route Départementale;470
202200000469; Route Départementale;PARIS (R DE)
202200000470;Voie Communales;92
202200000471;Voie Communales;
202200000472; Route Départementale;1043
202200000473;Voie Communales;BOZAR
202200000474; Route Départementale;GABRIEL PERI (AVENUE)
202200000475; Route Départementale;66
202200000476; Route Départementale;534
202200000477; Route Départementale;765
202200000478; Route Départementale;6
202200000479; Route Départementale;DIX HUIT JUIN 1940 (AVENUE DU)
202200000480; Route Départementale;
202200000481; Route Départementale;160
202200000482; Route Départementale;969
202200000483; Route Départementale;338
202200000484; Route Départementale;986
202200000485; Route Départementale;94
202200000486; Route Départementale;538
202200000487; Route Départementale;920
202200000488; Route Départementale;999
202200000489; Route Départementale;76
202200000490; Route Départementale;160
202200000491; Route Départementale;15
202200000492; Route Départementale;60
202200000493;Voie Communales;
202200000494;Voie Communales;BIEVRES (RUE DE)
202200000495;Voie Communales;
202200000496;Voie Communales;
202200000497; Route Départementale;32
202200000498; Route Départementale;26
202200000499; Route Départementale;104
202200000500;Routes de métropole urbaine;68
202200000501; Route Départementale;63
202200000502;Voie Communales;
202200000503; Route Départementale;24
202200000504;Route nationale;1
202200000505;Voie Communales;
202200000506; Route Départementale;947
202200000507;Voie Communales;
202200000508; Route Départementale;19
202200000509;Autoroute;11
202200000510; Route Départementale;137
202200000511;Voie Communales;GENAS (DE)                          (RO)
202200000512;Route nationale;2
202200000513;Autoroute;10
202200000514;Voie Communales;
202200000515;Voie Communales;
202200000516;Voie Communales;2
202200000517; Route Départementale;6
202200000518;Voie Communales;
202200000519; Route Départementale;
202200000520;Voie Communales;888
202200000521;Voie Communales;BEVERINI VICO PAIR AVENUE
202200000522;Route nationale;1
202200000523; Route Départementale;577
202200000524; Route Départementale;
202200000525;Routes de métropole urbaine;613
202200000526;Autoroute;8
202200000527;Voie Communales;
202200000528; Route Départementale;225
202200000529; Route Départementale;8
202200000530;Parc de stationnement ouvert à la circulation publique;
202200000531; Route Départementale;813
202200000532;Routes de métropole urbaine;5
202200000533;Voie Communales;25
202200000534; Route Départementale;770
202200000535;Autoroute;A51-Sens Marseille vers Aix en Provence
202200000536; Route Départementale;603
202200000537;Voie Communales;RM6
202200000538; Route Départementale;D105
202200000539;Autoroute;9
202200000540;Route nationale;1
202200000541; Route Départementale;
202200000542;Voie Communales;DEVAUX BD
202200000543; Route Départementale;560
202200000544; Route Départementale;1
202200000545; Route Départementale;519
202200000546;Routes de métropole urbaine;
202200000547; Route Départementale;96
202200000548; Route Départementale;592
202200000549;Voie Communales;ALBERT EINSTEIN                     (R )
202200000550; Route Départementale;48
202200000551; Route Départementale;82
202200000552; Route Départementale;2204
202200000553;Route nationale;250
202200000554; Route Départementale;1004
202200000555;Parc de stationnement ouvert à la circulation publique;POTTIER (RUE)
202200000556; Route Départementale;242
202200000557; Route Départementale;37
202200000558; Route Départementale;28
202200000559;Voie Communales;
202200000560; Route Départementale;654
202200000561;Voie Communales;
202200000562; Route Départementale;159
202200000563; Route Départementale;1017
202200000564;Voie Communales;RUE DU MUGUET
202200000565;Route nationale;20
202200000566;autre;
202200000567;Voie Communales;
202200000568; Route Départementale;RD11
202200000569;Voie Communales;ROCHEFOUCAULT (RUE DE LA)
202200000570; Route Départementale;24
202200000571;Voie Communales;32
202200000572; Route Départementale;59
202200000573;Voie Communales;RUE MONTORGUEIL
202200000574;Voie Communales;
202200000575; Route Départementale;7
202200000576; Route Départementale;500
202200000577; Route Départementale;21
202200000578; Route Départementale;178
202200000579;Voie Communales;
202200000580; Route Départementale;ROUTE DEPARTEMENTALE 990
202200000581; Route Départementale;1016
202200000582;Voie Communales;
202200000583;Autoroute;A50 - Sens Aubagne vers Marseille
202200000584;Voie Communales;ARGENTON (AV D')
202200000585; Route Départementale;104
202200000586;Autoroute;A7-Sens Lyon vers Marseille
202200000587;Route nationale;RN88
202200000588;Autoroute;A50-Sens Marseille vers Aubagne
202200000589;Autoroute;A72
202200000590; Route Départementale;130
202200000591;Autoroute;A51-Sens Aix en Provence vers Marseille
202200000592;Voie Communales;
202200000593; Route Départementale;26
202200000594;Autoroute;A50-Sens Aubagne vers Marseille
202200000595; Route Départementale;941
202200000596;Voie Communales;
202200000597;Autoroute;A507 sens Aubagne- Marseille
202200000598; Route Départementale;
202200000599;Autoroute;A47   0.000  A 1.657
202200000600; Route Départementale;16
202200000601;Route nationale;4
202200000602;Route nationale;12
202200000603;Voie Communales;EUROPE (Rdp de l')
202200000604;Autoroute;ROCADE A 630
202200000605;Route nationale;
202200000606;Route nationale;ROUTE NATIONALE 230
202200000607; Route Départementale;198
202200000608; Route Départementale;65
202200000609;Autoroute;A13
202200000610;Autoroute;A50-Sens Marseille vers Aubagne
202200000611;Autoroute;13
202200000612;Autoroute;4
202200000613;Parc de stationnement ouvert à la circulation publique;
202200000614;Autoroute;A13
202200000615; Route Départementale;RUE DE LA VILLE GERVEAUX
202200000616;Voie Communales;
202200000617; Route Départementale;RD 170
202200000618; Route Départementale;619
202200000619;Autoroute;AUTOROUTE A1
202200000620;Autoroute;36
202200000621; Route Départementale;498
202200000622;Voie Communales;MARCET (AV. BAPTISTE) (1-69 ET 2-58)
202200000623;Autoroute;AUTOROUTE A3
202200000624;Route nationale;2
202200000625; Route Départementale;999
202200000626;Route nationale;315
202200000627; Route Départementale;1090
202200000628;Route nationale;RN 104
202200000629; Route Départementale;156
202200000630;Autoroute;AUTOROUTE A3
202200000631; Route Départementale;524
202200000632;Autoroute;A104
202200000633; Route Départementale;921
202200000634;Voie Communales;
202200000635;Route nationale;RN104
202200000636; Route Départementale;
202200000637;Autoroute;A4
202200000638;Route nationale;20 (R.N.) COTE NORD DU TUNNEL
202200000639;Voie Communales;LAGARRASIC (PONT)
202200000640; Route Départementale;62
202200000641; Route Départementale;LERIDA (AVENUE DE)
202200000642; Route Départementale;BEAUSSET (ROUTE DU)
202200000643;Routes de métropole urbaine;M6   455.000 A 455.614
202200000644;Voie Communales;MASCAREIGNES (Avenue des)
202200000645;Parc de stationnement ouvert à la circulation publique;FOSSE MAUSSOIN (ALLEE DE LA)
202200000646; Route Départementale;7
202200000647; Route Départementale;
202200000648;Route nationale;kaweni-Mangrove (route de la)
202200000649;Voie Communales;
202200000650; Route Départementale;26
